compound	formula_occurrences	resolved_identity	chembl_id_present	human_target_records	nonmissing_pchembl_records	document_year_lte_2022_records	eligible_measured	strong_at_5	preparation_detection	exposure	selective_intervention
ginsenoside Rb1	6	True	True	1	1	1	True	True	not_assessed	not_assessed	not_assessed
ginsenoside Re	6	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
ginsenoside Rg1	6	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
glycyrrhetinic acid	11	True	True	8	8	8	True	True	not_assessed	not_assessed	not_assessed
glycyrrhizin	11	True	True	5	5	5	True	True	not_assessed	not_assessed	not_assessed
hesperidin	3	True	True	3	3	3	True	False	not_assessed	not_assessed	not_assessed
hypaconitine	1	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
isoferulic acid	1	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
isoliquiritigenin	11	True	True	36	36	36	True	True	not_assessed	not_assessed	not_assessed
jujuboside A	2	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
ligustilide	6	True	True	1	1	1	True	False	not_assessed	not_assessed	not_assessed
liquiritigenin	11	True	True	2	2	2	True	True	not_assessed	not_assessed	not_assessed
liquiritin	11	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
loganin	1	True	True	1	1	1	True	False	not_assessed	not_assessed	not_assessed
menthol	1	True	True	2	2	2	True	True	not_assessed	not_assessed	not_assessed
menthone	1	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
mesaconitine	1	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
morroniside	1	True	True	1	1	1	True	True	not_assessed	not_assessed	not_assessed
nobiletin	3	True	True	9	9	9	True	True	not_assessed	not_assessed	not_assessed
ononin	1	True	True	2	2	2	True	True	not_assessed	not_assessed	not_assessed
pachymic acid	6	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
paeoniflorin	4	True	True	1	1	1	True	False	not_assessed	not_assessed	not_assessed
paeonol	1	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
palmatine	1	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
phellodendrine	1	False	False	0	0	0	False	False	not_assessed	not_assessed	not_assessed
poricoic acid A	6	True	True	1	1	1	True	False	not_assessed	not_assessed	not_assessed
pseudoephedrine	1	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
saikosaponin a	3	True	True	8	8	8	True	True	not_assessed	not_assessed	not_assessed
saikosaponin d	3	True	True	5	5	5	True	True	not_assessed	not_assessed	not_assessed
senkyunolide A	6	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
tangeretin	3	True	True	6	6	6	True	True	not_assessed	not_assessed	not_assessed
wogonin	2	True	True	18	18	18	True	True	not_assessed	not_assessed	not_assessed
zingerone	5	True	True	0	0	0	False	False	not_assessed	not_assessed	not_assessed
